contest, numbers
412,"3,4,8,9,10,11,12,16,17,18,19,20,21,22,25"
413,"2,3,5,6,8,9,10,12,13,14,16,17,20,21,25"
414,"2,3,5,6,8,9,10,11,15,16,18,19,20,21,25"
415,"1,3,7,10,11,13,14,15,17,18,19,20,21,22,23"
416,"1,2,5,6,7,13,15,16,18,19,20,22,23,24,25"
417,"1,2,3,8,9,11,12,13,14,15,16,17,19,21,23"
418,"5,8,9,10,11,12,13,14,18,19,20,22,23,24,25"
419,"3,4,5,6,7,14,15,16,17,18,20,21,22,23,24"
420,"3,4,5,6,7,8,9,10,11,12,18,19,22,24,25"
421,"3,4,5,8,9,10,12,13,14,15,16,19,20,23,25"
422,"1,2,3,4,6,7,8,12,13,14,17,18,22,23,25"
423,"1,2,3,5,11,13,15,16,17,18,20,22,23,24,25"
424,"1,3,6,9,10,11,13,14,15,16,17,18,19,24,25"
425,"1,7,9,10,11,12,13,15,16,18,19,20,22,23,24"
426,"2,3,4,5,6,8,10,11,15,16,18,19,22,24,25"
427,"1,3,4,5,6,7,9,10,11,12,16,19,21,22,24"
428,"1,3,4,11,13,14,15,17,18,19,20,21,22,23,24"
429,"2,3,4,5,6,7,8,12,13,14,16,17,19,23,25"
430,"2,3,4,5,6,7,9,11,13,14,15,20,22,23,25"
431,"1,2,3,5,9,11,12,13,15,18,20,21,22,23,24"
432,"2,3,4,6,7,10,12,13,15,17,19,20,21,23,24"
433,"1,2,3,5,7,8,9,14,15,19,21,22,23,24,25"
434,"3,4,6,9,11,12,13,15,16,17,18,21,23,24,25"
435,"1,3,4,5,10,11,13,14,15,16,17,18,21,24,25"
436,"3,4,6,7,10,13,14,15,18,19,20,21,22,23,25"
437,"1,2,4,5,6,8,10,11,12,16,17,19,20,21,23"
438,"1,4,7,8,9,11,13,15,17,18,21,22,23,24,25"
439,"2,3,5,9,10,11,12,14,15,17,19,21,23,24,25"
440,"1,3,5,8,9,12,13,14,15,16,19,21,22,24,25"
441,"1,2,3,4,7,8,9,10,11,13,14,20,23,24,25"
442,"5,6,7,8,9,12,13,14,15,17,18,22,23,24,25"
443,"1,2,3,5,7,10,11,12,16,17,18,19,21,22,23"
444,"1,2,3,6,7,10,14,15,18,19,20,21,22,24,25"
445,"1,2,4,7,9,10,11,12,13,15,16,18,19,20,21"
446,"1,2,4,5,6,8,10,11,14,15,16,19,21,23,24"
447,"1,2,5,8,10,12,16,17,18,19,20,21,22,24,25"
448,"1,3,5,6,9,10,11,12,13,14,15,17,20,23,24"
449,"1,2,3,4,8,9,10,11,16,17,18,19,22,24,25"
450,"4,5,6,7,9,11,14,16,17,18,21,22,23,24,25"
451,"1,3,5,6,8,9,14,15,17,18,19,22,23,24,25"
452,"1,6,7,8,9,10,11,12,14,17,18,19,20,24,25"
453,"1,2,3,4,6,9,11,14,15,17,19,20,21,24,25"
454,"3,4,6,7,11,12,13,14,15,17,19,20,22,24,25"
455,"1,3,4,5,6,7,8,11,12,14,18,19,21,23,25"
456,"1,3,4,9,10,11,12,13,14,17,18,21,23,24,25"
457,"1,4,5,11,13,14,15,16,18,19,20,21,22,23,25"
458,"2,3,4,5,6,7,8,9,11,13,15,16,18,20,22"
459,"1,2,3,4,7,10,11,12,14,15,17,19,20,21,23"
460,"1,3,4,6,9,10,11,12,14,15,16,17,19,22,23"
461,"3,4,5,6,7,8,11,12,13,14,15,17,19,23,24"
462,"1,2,3,5,7,8,12,14,16,17,18,21,22,23,24"
463,"2,3,6,7,9,11,13,14,17,18,19,20,22,23,25"
464,"1,2,5,8,10,11,16,17,19,20,21,22,23,24,25"
465,"1,2,3,4,6,7,9,10,11,13,18,19,21,22,25"
466,"2,6,7,8,10,11,12,14,17,18,19,20,21,22,25"
467,"2,4,5,6,7,10,13,14,15,17,18,21,22,24,25"
468,"2,3,5,6,9,10,12,13,15,17,18,21,22,24,25"
469,"1,2,5,6,7,8,10,11,13,14,18,19,22,23,25"
470,"1,3,4,5,6,7,8,10,11,13,15,18,20,22,23"
471,"2,3,4,6,9,10,11,12,13,14,15,16,20,24,25"
472,"1,2,4,5,6,7,8,11,12,13,14,15,17,18,20"
473,"1,2,5,6,7,8,9,11,12,15,17,19,22,23,25"
474,"1,2,3,5,9,10,11,12,15,16,17,18,21,23,24"
475,"2,3,4,5,6,9,10,11,13,14,17,20,21,23,25"
476,"1,5,6,7,9,10,11,13,14,15,16,17,19,24,25"
477,"2,4,6,7,8,10,11,12,14,16,18,20,23,24,25"
478,"2,3,5,7,9,10,11,12,13,16,18,22,23,24,25"
479,"2,3,5,8,11,13,14,15,16,18,19,22,23,24,25"
480,"4,5,6,7,8,9,11,12,15,17,18,19,22,24,25"
481,"1,3,5,7,9,10,12,13,14,15,17,20,21,22,24"
482,"2,6,7,8,9,10,12,15,16,17,19,21,22,23,25"
483,"1,4,5,6,7,9,11,12,14,17,18,21,22,23,24"
484,"1,4,6,8,9,10,11,13,14,16,17,20,21,23,25"
485,"2,3,4,5,6,7,11,16,17,18,20,21,22,24,25"
486,"1,2,3,4,5,7,9,11,13,15,18,19,20,21,22"
487,"4,5,6,7,8,9,10,14,15,17,18,19,21,22,24"
488,"5,6,7,8,11,12,13,14,15,17,18,20,22,24,25"
489,"1,2,5,7,10,11,12,14,17,18,19,21,22,23,25"
490,"3,5,6,8,10,11,12,13,14,16,17,18,21,22,23"
491,"1,2,3,7,9,11,12,13,16,20,21,22,23,24,25"
492,"1,2,3,4,6,8,11,12,14,15,18,19,21,24,25"
493,"1,4,5,7,8,10,12,13,14,15,17,18,21,22,25"
494,"2,3,4,5,7,8,12,13,15,16,18,19,20,21,22"
495,"1,3,4,6,7,8,9,11,13,15,17,19,22,24,25"
496,"3,4,5,7,9,11,13,14,15,16,17,19,21,22,24"
497,"1,2,3,4,5,8,9,11,12,14,16,17,19,23,25"
498,"1,2,4,5,6,11,13,14,15,16,18,20,22,23,25"
499,"1,2,3,4,7,10,11,12,15,17,19,20,21,24,25"
500,"2,3,5,6,8,9,10,13,14,16,18,20,21,23,25"
501,"1,2,3,4,6,9,12,15,17,18,19,21,23,24,25"
502,"1,2,3,4,5,6,8,10,11,13,16,18,19,23,24"
503,"1,2,3,4,5,7,11,12,14,15,17,20,21,24,25"
504,"1,6,9,10,12,13,14,15,16,17,18,19,20,21,23"
505,"3,4,6,7,9,11,15,16,17,18,19,20,21,22,24"
506,"4,5,6,9,11,12,13,15,16,17,19,20,21,22,24"
507,"1,2,3,5,6,8,9,10,11,12,20,21,23,24,25"
508,"2,3,5,6,7,8,9,14,15,16,18,19,23,24,25"
509,"1,3,5,6,9,11,12,15,16,17,19,20,22,24,25"
510,"1,2,3,4,6,7,10,11,12,13,20,21,22,23,25"
511,"1,2,5,7,10,11,12,13,14,17,18,19,21,24,25"
512,"1,2,4,5,6,7,8,9,10,12,13,15,16,21,24"
513,"1,2,3,6,9,10,11,13,15,17,18,20,22,23,25"
514,"1,5,6,7,8,9,11,12,15,17,18,21,22,24,25"
515,"2,3,5,7,9,10,11,12,13,14,17,18,20,24,25"
516,"2,4,5,6,7,8,11,12,13,14,18,20,21,23,24"
517,"1,3,4,5,6,7,8,9,11,12,13,17,21,22,23"
518,"4,5,6,7,10,11,12,13,14,16,17,19,20,22,24"
519,"2,3,7,9,11,12,13,15,16,17,19,21,23,24,25"
520,"2,4,5,6,9,10,12,14,15,18,19,20,22,23,24"
521,"1,2,3,4,5,6,9,10,11,12,13,17,19,20,23"
522,"2,4,6,7,9,11,16,17,18,19,21,22,23,24,25"
523,"2,4,5,8,9,10,11,12,13,16,17,18,19,24,25"
524,"2,3,5,6,7,10,11,12,14,17,20,21,22,23,24"
525,"3,4,6,9,10,11,13,15,16,17,18,20,21,22,25"
526,"1,2,4,7,8,9,10,11,12,14,15,16,19,24,25"
527,"1,2,5,6,9,11,12,14,15,16,17,19,22,23,24"
528,"2,3,4,6,7,8,10,11,12,15,19,21,23,24,25"
529,"2,3,5,6,7,11,12,16,17,18,19,20,22,23,25"
530,"3,4,6,7,8,9,10,11,12,14,16,18,21,22,23"
531,"1,2,3,7,10,12,13,14,15,16,17,21,22,23,25"
532,"1,2,4,5,6,7,9,11,12,13,15,16,19,22,24"
533,"1,2,3,8,9,10,11,13,14,16,17,18,20,24,25"
534,"1,2,3,5,7,8,11,12,13,15,18,19,21,22,24"
535,"1,4,5,6,9,11,13,15,16,17,19,21,23,24,25"
536,"3,4,5,7,9,11,15,16,17,19,20,22,23,24,25"
537,"1,2,4,6,9,10,11,14,15,17,18,20,22,23,24"
538,"2,5,6,10,11,12,13,16,17,18,19,20,21,24,25"
539,"1,2,4,5,6,8,9,12,13,14,15,16,19,21,23"
540,"2,6,7,8,9,11,12,13,15,16,18,19,20,22,24"
541,"3,4,5,6,9,10,13,14,15,17,19,20,22,24,25"
542,"1,2,3,4,5,8,9,10,13,16,17,18,20,22,24"
543,"1,5,7,8,10,11,13,14,15,16,17,20,22,24,25"
544,"2,4,5,7,8,9,11,13,14,15,18,19,21,23,24"
545,"1,3,5,6,7,11,12,13,14,15,17,18,23,24,25"
546,"2,3,4,5,8,9,10,11,12,13,17,18,19,21,23"
547,"1,2,4,5,6,9,10,12,14,16,17,19,20,24,25"
548,"1,2,3,4,5,6,7,8,9,13,14,17,20,23,25"
549,"3,4,7,9,10,11,13,14,15,16,17,20,21,22,23"
550,"1,5,6,7,9,10,11,13,14,16,17,18,20,21,22"
551,"3,7,8,10,12,13,14,16,17,18,19,20,21,22,24"
552,"1,3,4,5,6,8,10,12,13,17,20,22,23,24,25"
553,"4,5,7,8,9,10,12,13,14,15,17,18,21,23,24"
554,"1,2,3,4,6,9,13,14,17,19,20,21,22,24,25"
555,"1,2,6,7,8,9,10,12,14,16,17,18,20,23,24"
556,"1,4,8,9,11,13,14,16,17,18,20,22,23,24,25"
557,"1,5,7,8,9,10,12,14,15,17,18,19,20,21,23"
558,"1,3,4,5,7,10,12,14,17,18,20,21,22,24,25"
559,"1,2,5,7,9,10,11,13,14,16,19,20,21,22,23"
560,"1,2,4,9,10,12,14,17,18,19,20,21,23,24,25"
561,"2,3,4,6,7,9,10,11,12,13,15,17,18,20,21"
562,"1,2,3,5,7,8,13,14,16,18,19,20,21,22,24"
563,"1,3,4,5,6,7,9,11,12,16,19,20,22,23,24"
564,"1,2,3,4,7,9,12,14,15,17,19,20,21,23,24"
565,"1,4,6,7,9,10,12,15,17,18,19,20,21,23,24"
566,"1,3,4,5,7,9,10,11,14,15,16,17,19,20,21"
567,"1,2,5,7,8,9,10,12,13,14,15,17,21,24,25"
568,"1,2,4,5,6,7,8,9,13,15,16,17,18,20,21"
569,"1,2,6,7,8,12,13,16,17,18,19,20,22,24,25"
570,"1,2,3,4,5,10,12,14,15,18,19,20,21,22,23"
571,"3,4,5,6,7,11,12,15,16,18,19,20,21,24,25"
572,"2,5,6,8,9,10,13,14,15,16,17,19,21,22,24"
573,"1,2,3,7,10,11,12,14,16,18,20,22,23,24,25"
574,"1,5,6,11,12,13,14,16,18,19,20,21,22,23,25"
575,"3,5,8,9,10,12,13,15,16,17,18,19,21,22,24"
576,"6,8,9,10,11,12,13,15,16,17,18,19,21,23,25"
577,"1,2,3,4,5,8,10,12,15,16,18,19,21,22,23"
578,"1,4,6,7,8,10,12,13,14,15,16,19,21,22,23"
579,"1,3,5,6,7,8,10,12,13,14,17,19,20,21,24"
580,"1,4,6,7,8,9,10,12,13,14,16,17,21,24,25"
581,"2,4,6,9,11,12,13,14,15,17,18,19,21,23,25"
582,"3,7,8,9,10,11,12,13,15,17,18,19,21,23,25"
583,"1,3,4,7,8,9,11,14,16,17,18,19,21,23,24"
584,"2,3,5,6,7,8,10,11,14,15,19,20,21,22,23"
585,"1,5,7,8,9,10,13,14,15,16,17,18,20,23,24"
586,"2,3,4,6,7,8,11,12,16,17,18,19,22,24,25"
587,"1,4,5,7,9,10,11,12,13,17,18,19,20,21,23"
588,"1,4,5,7,11,12,13,14,17,18,19,20,23,24,25"
589,"2,3,4,6,8,9,10,12,13,20,21,22,23,24,25"
590,"1,3,4,6,9,10,11,13,14,15,16,18,19,20,21"
591,"1,2,4,7,8,10,11,14,15,16,17,19,20,21,23"
592,"1,3,5,6,8,9,10,14,15,16,17,18,19,20,22"
593,"1,3,4,5,6,9,10,11,13,14,15,20,23,24,25"
594,"2,3,6,7,9,10,11,13,14,15,16,18,20,23,25"
595,"1,5,6,7,8,9,10,11,12,15,17,19,21,24,25"
596,"2,3,7,8,9,10,11,12,17,18,19,20,22,23,25"
597,"1,2,3,5,8,9,10,11,14,16,17,18,22,24,25"
598,"1,3,4,5,7,11,12,14,15,18,19,20,21,22,25"
599,"2,4,5,6,7,9,12,13,16,18,20,21,22,23,24"
600,"1,3,5,6,8,9,10,11,16,17,18,19,22,23,25"
601,"1,3,5,6,7,9,10,11,12,13,14,16,19,20,25"
602,"1,2,5,6,7,8,9,10,11,12,13,18,22,23,25"
603,"2,4,5,6,8,10,12,13,15,16,19,20,21,22,23"
604,"1,2,6,7,9,12,13,14,15,18,19,20,22,24,25"
605,"2,3,4,5,7,10,11,13,14,16,17,18,21,23,25"
606,"2,3,6,7,8,10,12,14,15,16,18,22,23,24,25"
607,"3,5,7,9,12,15,16,17,18,19,20,21,22,24,25"
608,"1,2,3,5,7,8,10,13,14,16,17,18,19,23,25"
609,"1,2,4,7,9,10,11,12,14,15,16,19,20,23,25"
610,"1,2,4,6,7,8,10,12,13,14,15,16,21,22,25"
611,"2,3,4,5,6,8,9,13,14,16,18,19,20,21,23"
612,"1,2,3,6,7,9,10,13,15,16,17,18,19,23,25"
613,"2,5,6,7,10,11,12,13,14,16,17,20,22,23,25"
614,"1,5,6,7,9,11,12,13,16,17,18,19,20,22,23"
615,"1,2,4,7,8,11,12,17,19,20,21,22,23,24,25"
616,"1,2,6,9,10,12,15,16,17,18,19,21,22,24,25"
617,"1,2,3,4,5,7,10,14,15,16,19,21,22,24,25"
618,"1,2,4,5,6,7,9,12,13,17,19,20,21,22,24"
619,"1,3,4,7,8,9,13,14,17,18,19,20,21,23,25"
620,"1,5,6,7,10,11,12,14,15,16,18,19,20,21,22"
621,"1,2,3,5,6,8,9,10,12,15,16,20,22,24,25"
622,"2,3,4,5,6,7,9,10,11,12,13,15,17,18,21"
623,"1,2,3,4,5,8,9,10,11,12,15,20,22,23,25"
624,"1,2,4,5,6,7,9,11,12,16,17,18,20,21,24"
625,"1,2,3,6,8,10,11,13,14,15,16,17,22,23,24"
626,"1,2,3,4,5,7,8,9,11,13,17,19,21,23,24"
627,"1,2,3,4,6,10,12,14,15,17,21,22,23,24,25"
628,"2,3,4,7,8,9,10,11,13,15,18,19,22,23,25"
629,"1,2,4,5,6,7,9,12,14,15,17,19,21,22,25"
630,"1,2,4,6,7,12,13,14,17,18,20,22,23,24,25"
631,"2,3,5,7,8,9,10,13,14,16,17,18,19,20,21"
632,"1,4,6,8,10,11,13,14,16,17,20,21,22,24,25"
633,"2,3,6,7,8,9,10,12,18,20,21,22,23,24,25"
634,"2,3,4,5,9,10,11,12,14,15,18,19,20,21,22"
635,"1,4,5,6,7,8,9,11,12,13,18,19,20,22,24"
636,"1,2,3,4,6,10,12,13,14,16,19,20,21,23,25"
637,"2,4,6,7,9,13,16,17,18,19,20,21,22,23,25"
638,"1,2,3,4,9,11,13,14,16,18,19,21,23,24,25"
639,"1,2,4,5,6,8,9,10,12,16,19,20,21,22,24"
640,"1,3,4,5,9,11,13,14,16,18,19,20,21,22,23"
641,"2,3,6,7,8,9,11,13,16,18,19,20,21,22,24"
642,"1,2,4,5,8,10,11,12,13,18,19,20,21,22,25"
643,"1,2,4,7,8,9,10,13,16,17,19,21,22,23,24"
644,"2,3,5,6,7,8,9,12,13,14,15,18,21,22,24"
645,"4,5,8,9,10,11,13,16,18,19,20,21,22,23,25"
646,"1,3,5,6,9,10,14,15,17,18,19,20,21,23,25"
647,"4,6,7,8,9,11,13,14,17,18,19,20,22,23,25"
648,"2,4,6,8,9,10,11,13,15,16,18,19,20,21,22"
649,"1,2,4,5,6,8,9,10,11,14,15,17,21,22,24"
650,"1,3,7,8,10,13,14,16,17,19,20,21,23,24,25"
651,"1,4,5,6,8,10,13,14,15,17,18,19,20,24,25"
652,"2,5,7,9,10,11,13,14,16,17,18,19,20,21,23"
653,"1,2,3,7,8,12,13,14,16,17,19,20,21,22,23"
654,"1,2,3,7,12,13,14,16,17,18,19,20,22,23,25"
655,"2,5,7,8,10,11,13,14,15,19,20,21,23,24,25"
656,"2,3,5,7,8,9,11,13,14,15,18,20,22,23,25"
657,"2,3,4,5,6,8,10,12,13,15,17,19,23,24,25"
658,"1,4,5,6,7,9,10,11,14,15,17,21,23,24,25"
659,"1,3,4,5,6,8,9,10,11,12,15,19,20,23,24"
660,"3,4,5,6,7,8,9,12,14,15,16,17,19,24,25"
661,"1,3,6,7,10,11,12,15,17,18,19,20,22,23,24"
662,"1,2,3,6,7,8,9,11,13,14,15,16,19,20,22"
663,"2,4,5,6,7,9,11,13,16,17,19,21,22,23,24"
664,"1,3,4,7,10,13,14,15,16,17,18,20,21,23,24"
665,"2,3,6,7,12,13,14,15,17,18,20,21,22,24,25"
666,"1,2,4,6,7,11,12,14,15,16,18,20,21,24,25"
667,"3,4,5,6,8,10,13,15,17,18,19,20,21,24,25"
668,"1,2,7,9,10,11,12,13,15,16,17,20,23,24,25"
669,"2,4,5,6,12,13,15,16,17,18,19,22,23,24,25"
670,"1,7,8,10,12,13,14,15,17,18,20,21,22,23,25"
671,"4,5,7,8,9,10,11,12,13,14,18,19,20,22,24"
672,"1,2,4,6,9,10,11,12,15,17,19,21,23,24,25"
673,"2,4,5,7,8,9,10,11,12,13,14,15,17,19,20"
674,"2,3,8,10,11,14,15,16,18,19,20,22,23,24,25"
675,"2,3,4,5,7,10,11,13,14,15,16,17,22,23,24"
676,"2,4,5,6,8,10,12,13,15,16,19,20,21,24,25"
677,"1,2,5,6,7,8,10,11,12,13,15,16,19,23,25"
678,"2,3,5,7,9,10,12,15,18,19,20,21,23,24,25"
679,"2,7,8,10,11,12,13,14,15,17,18,19,20,21,22"
680,"3,4,6,7,8,9,12,13,14,16,18,19,20,21,22"
681,"2,3,4,6,7,8,10,11,12,14,15,16,18,19,23"
682,"1,2,4,5,6,7,8,11,14,17,18,19,22,24,25"
683,"1,2,4,5,6,7,8,9,10,11,12,13,15,23,24"
684,"1,4,5,8,10,11,12,13,14,16,20,21,22,24,25"
685,"1,3,4,9,12,13,15,17,19,20,21,22,23,24,25"
686,"1,3,4,6,7,10,12,13,16,19,20,22,23,24,25"
687,"1,2,3,4,6,9,12,13,15,18,19,20,23,24,25"
688,"1,2,3,4,7,9,11,12,14,16,19,21,22,23,24"
689,"2,3,4,5,6,7,8,11,12,13,15,17,22,23,24"
690,"1,2,3,9,10,11,12,13,14,15,18,19,20,24,25"
691,"1,2,3,6,7,8,9,11,13,17,18,19,20,22,23"
692,"1,2,4,6,7,10,11,12,17,18,19,21,22,23,24"
693,"1,2,3,4,6,7,9,10,11,14,16,17,19,21,22"
694,"1,3,6,8,9,10,11,14,15,16,18,19,20,21,24"
695,"2,3,4,5,11,13,14,17,18,19,20,21,22,24,25"
696,"1,4,5,7,9,10,11,13,14,15,16,20,21,22,24"
697,"1,2,3,7,8,11,14,15,16,18,19,22,23,24,25"
698,"2,3,4,6,7,9,10,12,14,15,18,20,21,22,24"
699,"2,3,4,6,8,9,10,15,16,18,19,21,22,23,25"
700,"1,2,6,7,8,9,10,13,14,16,18,19,21,22,25"
701,"3,4,8,10,12,13,14,16,17,19,20,21,22,23,25"
702,"1,2,3,4,5,6,7,8,9,10,13,14,20,23,25"
703,"2,5,8,10,11,14,15,17,18,20,21,22,23,24,25"
704,"2,3,5,6,8,10,11,13,14,15,16,17,22,23,24"
705,"3,4,6,7,8,9,11,12,14,15,16,20,21,22,25"
706,"1,2,3,4,6,8,12,13,16,18,19,21,22,24,25"
707,"3,4,6,7,8,11,12,14,15,16,17,20,21,24,25"
708,"1,2,3,4,5,6,9,11,14,16,19,21,22,24,25"
709,"1,3,6,7,8,11,12,14,15,16,18,19,20,22,23"
710,"2,3,4,6,12,14,15,17,18,19,20,21,22,24,25"
711,"1,2,4,5,6,7,10,12,13,15,16,18,21,22,24"
712,"1,4,8,9,12,14,15,16,17,18,20,21,22,23,25"
713,"2,3,4,5,6,11,13,14,15,19,21,22,23,24,25"
714,"4,6,7,8,9,10,11,12,13,14,15,17,19,21,22"
715,"1,3,5,8,10,11,13,14,15,18,20,22,23,24,25"
716,"1,3,5,7,8,11,12,14,15,16,18,20,21,23,25"
717,"1,2,3,5,7,8,9,11,14,16,18,20,21,23,25"
718,"3,4,7,9,11,13,14,15,17,19,21,22,23,24,25"
719,"2,7,8,9,10,11,13,15,16,18,19,22,23,24,25"
720,"4,7,9,10,11,12,13,16,17,18,20,21,23,24,25"
721,"1,2,3,4,5,7,8,9,10,11,12,14,15,19,21"
722,"1,3,5,6,7,8,10,13,14,16,17,19,20,23,24"
723,"2,3,4,5,7,8,9,10,11,12,14,15,18,20,24"
724,"1,3,5,6,7,10,12,14,15,18,19,20,23,24,25"
725,"1,5,6,7,9,10,12,13,15,16,17,18,21,24,25"
726,"1,2,4,7,9,10,11,13,14,15,16,20,21,24,25"
727,"3,4,6,7,8,9,11,16,18,20,21,22,23,24,25"
728,"3,4,6,7,8,10,11,13,16,19,20,21,22,23,25"
729,"1,2,3,4,6,7,9,10,12,14,15,17,22,23,25"
730,"1,3,4,8,11,12,14,16,18,19,20,21,22,24,25"
731,"3,4,6,7,8,11,12,14,15,17,18,19,21,22,24"
732,"1,4,8,9,10,11,13,14,17,20,21,22,23,24,25"
733,"1,4,5,6,7,8,11,12,14,16,18,19,20,22,24"
734,"2,3,6,8,9,10,13,15,17,18,19,20,21,23,24"
735,"5,6,8,10,11,12,13,14,17,19,20,21,22,24,25"
736,"2,3,4,5,6,8,9,10,13,15,16,17,19,21,23"
737,"2,3,4,5,6,7,8,10,12,14,16,17,18,22,25"
738,"2,6,7,9,11,12,13,14,16,18,19,20,23,24,25"
739,"2,3,4,8,9,10,11,14,17,20,21,22,23,24,25"
740,"1,4,5,9,10,11,12,13,14,19,21,22,23,24,25"
741,"2,3,5,7,10,11,12,13,14,16,17,18,21,24,25"
742,"1,3,5,6,7,8,9,11,13,14,15,19,20,21,23"
743,"1,2,3,6,9,10,11,12,14,15,17,21,22,23,24"
744,"1,3,4,6,7,9,10,11,12,13,15,16,19,23,24"
745,"1,3,6,7,8,9,11,12,13,16,17,20,22,24,25"
746,"2,3,4,5,8,9,10,16,17,18,19,20,21,24,25"
747,"1,2,3,4,6,7,10,12,13,15,16,17,20,23,24"
748,"1,3,4,5,6,8,9,10,12,15,17,18,20,21,23"
749,"1,2,3,4,6,7,8,11,13,14,15,18,19,22,24"
750,"2,3,4,5,7,9,10,11,13,15,19,20,21,24,25"
751,"3,5,6,8,9,12,13,14,16,17,19,20,21,22,23"
752,"1,4,5,6,7,8,12,13,14,16,18,19,21,24,25"
753,"1,3,4,5,6,7,8,11,13,14,17,20,21,22,25"
754,"1,4,5,7,13,15,16,17,18,19,20,22,23,24,25"
755,"1,2,3,5,7,8,10,11,12,13,14,16,17,24,25"
756,"3,5,6,7,8,10,13,14,15,16,17,20,22,23,25"
757,"1,3,4,8,9,10,11,13,14,15,17,18,20,21,23"
758,"1,2,4,5,6,11,12,15,16,17,18,20,23,24,25"
759,"2,5,7,8,9,10,15,16,17,18,19,20,23,24,25"
760,"1,2,3,7,9,10,11,12,13,15,16,17,23,24,25"
761,"1,4,5,6,10,11,12,13,14,15,16,19,20,22,24"
762,"1,2,3,5,6,7,9,10,11,12,13,14,17,21,22"
763,"1,2,3,4,6,7,13,14,16,17,18,21,22,24,25"
764,"1,3,4,6,8,9,11,12,14,16,17,19,23,24,25"
765,"1,2,3,7,8,9,10,12,13,14,18,20,23,24,25"
766,"1,3,5,6,7,9,12,13,14,15,16,18,21,24,25"
767,"1,3,4,5,7,8,10,11,12,15,17,19,22,23,24"
768,"1,3,5,6,11,12,13,14,15,17,19,20,23,24,25"
769,"3,4,5,7,10,11,13,15,16,17,19,20,22,23,25"
770,"1,3,4,5,6,9,11,12,16,17,18,21,22,24,25"
771,"2,4,5,6,7,8,9,10,14,16,17,20,22,23,25"
772,"2,4,6,7,8,9,10,11,12,15,16,20,23,24,25"
773,"2,5,6,7,8,10,11,13,15,17,18,20,22,24,25"
774,"1,3,4,5,6,8,9,11,12,14,15,18,19,22,25"
775,"2,3,6,7,8,9,10,12,13,14,16,17,18,19,20"
776,"1,2,3,4,10,11,12,13,14,18,19,20,22,23,24"
777,"2,3,6,9,11,12,13,14,15,16,20,21,23,24,25"
778,"2,5,6,7,9,10,11,13,15,16,19,20,22,24,25"
779,"4,5,8,9,11,12,13,14,16,17,19,20,21,22,23"
780,"3,6,7,8,10,13,15,16,17,18,19,20,21,24,25"
781,"1,2,4,8,9,10,11,14,15,16,17,19,20,22,25"
782,"5,8,9,10,11,12,13,14,15,16,17,18,19,20,21"
783,"1,2,5,6,7,8,11,13,15,16,19,20,21,22,24"
784,"1,2,3,4,7,11,12,13,15,18,20,21,22,23,25"
785,"1,2,4,6,7,10,11,12,13,15,16,17,19,21,23"
786,"2,4,5,6,8,10,11,12,13,15,17,21,23,24,25"
787,"1,4,5,8,9,10,11,12,13,14,16,17,19,20,23"
788,"1,3,4,8,9,10,11,12,16,19,21,22,23,24,25"
789,"2,3,4,8,10,11,12,14,15,16,18,19,21,22,24"
790,"3,6,7,8,10,12,13,16,18,19,20,22,23,24,25"
791,"1,2,3,5,6,7,8,10,11,13,14,21,22,23,25"
792,"1,2,3,6,8,9,10,12,14,18,19,20,21,23,25"
793,"2,4,5,7,9,11,12,14,16,17,18,20,21,23,25"
794,"1,2,3,4,5,6,8,9,11,14,15,20,23,24,25"
795,"1,2,3,4,6,7,8,9,10,12,14,16,21,22,24"
796,"2,3,4,6,7,8,10,11,14,16,17,18,20,21,24"
797,"2,3,5,6,7,8,11,15,17,18,19,20,21,24,25"
798,"1,3,5,6,8,10,11,13,15,16,18,19,22,23,24"
799,"3,4,6,8,11,13,14,15,16,19,21,22,23,24,25"
800,"3,4,6,7,8,9,10,11,12,13,16,20,21,22,24"
801,"1,3,4,5,6,7,10,12,15,17,18,19,21,23,25"
802,"1,3,4,5,8,9,10,12,13,14,18,20,21,22,25"
803,"1,4,5,12,14,15,16,17,18,19,20,21,23,24,25"
804,"1,3,4,5,6,7,8,13,15,17,18,20,21,23,24"
805,"1,2,4,6,7,9,11,13,14,16,17,20,22,24,25"
806,"1,2,3,5,6,7,8,10,14,15,16,19,20,24,25"
807,"2,3,4,5,7,8,10,11,13,18,19,21,22,24,25"
808,"4,6,7,10,11,12,14,16,17,18,20,21,22,24,25"
809,"1,2,4,5,7,9,13,16,18,19,21,22,23,24,25"
810,"1,3,6,7,9,11,12,15,16,17,18,21,22,23,24"
811,"1,2,3,4,5,6,7,9,10,12,14,17,19,20,22"
812,"1,3,5,7,8,11,14,17,18,19,20,21,23,24,25"
813,"1,3,4,5,6,7,8,10,12,16,19,21,23,24,25"
814,"3,4,8,10,11,12,13,14,17,19,20,21,22,23,24"
815,"6,7,8,10,11,14,15,17,18,20,21,22,23,24,25"
816,"2,3,5,8,9,10,11,12,13,15,16,17,19,23,25"
817,"1,2,3,4,5,8,10,11,12,17,18,20,23,24,25"
818,"4,5,6,8,10,11,13,14,16,19,20,22,23,24,25"
819,"3,4,5,6,7,8,9,10,11,12,18,19,20,21,22"
820,"1,2,3,5,6,7,8,9,10,13,15,16,22,23,24"
821,"3,4,5,7,9,10,11,12,14,16,17,21,23,24,25"
822,"2,3,5,11,12,14,15,16,17,18,19,21,22,23,24"
